year,open,high,low,close,volume,Ticker_symbol,ROE,ROA,PE,PB
2023,51.997188755020076,52.49979919678715,51.1777108433735,51.82831325301205,5077105.674698795,VIC,0.019272558,0.003464764,72.91702438,1.38276037
2022,72.0293172690763,72.88353413654619,70.73654618473896,71.95943775100402,2209174.3212851407,VIC,0.083411631,0.017462584,19.64857285,1.56732347
2021,99.51,100.76536,98.10736,99.44252,2311050.0,VIC,-0.01701878,-0.005908844,-82.77010805,2.070927129
2020,86.92972222222222,87.93718253968254,85.8172619047619,87.05825396825396,665518.5317460317,VIC,0.04261893,0.013227627,59.94874699,4.136547934
2024,65.65756,66.12364,65.17832,65.5408,3640995.592,VNM,0.293621485,0.174379841,14.12987494,4.111431974
2023,67.20381526104417,67.75064257028113,66.60574297188755,67.16337349397591,2518436.1485943776,VNM,0.288364207,0.175448007,14.93193331,4.18033094
2022,66.70373493975903,67.52116465863455,66.02465863453816,66.67682730923694,2244302.37751004,VNM,0.27064066,0.167284153,16.5900182,4.733181857
2021,78.01028,78.66296000000001,77.29008,77.88167999999999,3294165.2,VNM,0.303104919,0.206996297,15.1004942,4.807431876
2020,77.94333333333334,78.7115873015873,77.21178571428571,77.97277777777778,1507798.4126984128,VNM,0.350243642,0.238347607,16.26931956,5.769597602
2024,18.76312,18.94084,18.57656,18.752959999999998,18371684.576,VPB,0.111378981,0.018360735,9.603898191,1.067883214
2023,18.22012048192771,18.424698795180724,17.97686746987952,18.207751004016067,15255391.36947791,VPB,0.069825402,0.011727584,15.27293611,1.131472661
2022,18.4929718875502,18.810642570281125,18.16437751004016,18.46558232931727,15286397.088353414,VPB,0.178193709,0.028697364,7.126483992,1.337018426
2021,19.35516,19.63628,19.04752,19.388080000000002,14288833.2,VPB,0.165054058,0.023751537,6.880852614,1.029095192
2020,7.899484126984127,8.040714285714285,7.779603174603174,7.9215873015873015,4965798.174603174,VPB,0.219229567,0.026157647,8.697420951,1.715606106
